hotel,star,review,real_date
전주 금암동 필 (Jeonju Geumam-dong Feel),7.6,다만 금연실을 부탁드렸음에도 담배 냄세가 심해서 옷에 냄세가 배지 않을까걱정할 정도였어요   흡연 하시는 분들은 그렇다 치고 냄세에 민감하신 분들은 비추입니다   그러나 냄세와 비례해 위생은 정말 깔끔합니다   위치도 시외버스터미널에서 걸어서 분도 안되니 괜찮습니다 ,20220913
전주 신시가지 쿡 (Jeonju Sinsigaji Cook),2.0,락스냄새 천국,20230528
전주 신시가지 쿡 (Jeonju Sinsigaji Cook),2.4,화장실에는 머리카락 뭉치문에는 먼지 덩어리샴푸 통에는 알수 없는 찌꺼기티비는 리모컨도 안눌리고만원이나 결제했는데위생상태가 너무 안좋아서돈이 너무 아깝네요모텔 여러군데 다녀봤지만이렇게 지저분하고 더러운 모텔은 첨이에요비추합니다,20230430
전주 신시가지 쿡 (Jeonju Sinsigaji Cook),6.0,생각이상 구식 모텔이었다고     ,20230412
전주 신시가지 쿡 (Jeonju Sinsigaji Cook),10.0,좋아요,20230113
전주 신시가지 쿡 (Jeonju Sinsigaji Cook),4.8,처음 예약 조건과 달리 구석진 창고처럼 생긴방을 안내해서 컴플레인을 몇번 한후 교환했음 ,20221215
전주 신시가지 쿡 (Jeonju Sinsigaji Cook),8.8,가격대비 저렴하고 좋아요,20221025
전주 신시가지 쿡 (Jeonju Sinsigaji Cook),10.0,깔끔하고 친절하고 위치도 좋고가격대비 최고의 숙소였네요  ,20220913
전주 우아동 월드 (Jeonju Ua-dong World),10.0,전주여행으로 왔어요  친절하고 깨끗했어요  갑자기 쌀쌀했는데 방도 따뜻하고 넘좋아요,20220430
전주 우아동 월드 (Jeonju Ua-dong World),10.0,조금 일찍 입실해야했는데 어서오라고 해주시고 퇴실재촉도없고 넘편했어요  고데기도있었고 객실은 아담  깔끔 편안했구요  다만 객실에 전화기가 없었는데 딱히 불편했던건 아니라 별다섯개 줬어요 또올께요,20220412
전주 우아동 월드 (Jeonju Ua-dong World),10.0,항상 친절하시구 좋은방 주셔서 너무 감사해요   ,20220324
전주 우아동 월드 (Jeonju Ua-dong World),10.0,시간이 길어서 너무 좋아요,20220315
전주 우아동 월드 (Jeonju Ua-dong World),10.0,서비스가 너무 좋습니다       시간두 넉넉하게 주시구 가성비 갑입니다 어디가서 이가격에 이런방 못구함       최고,20220312
전주 우아동 월드 (Jeonju Ua-dong World),10.0,가성비 좋아요 원룸같은 느낌 나요,20220209
전주 우아동 월드 (Jeonju Ua-dong World),10.0,전주역에서 가까웠어요  걸어서 분   암튼 가까워서좋았고 식당가는 전주역쪽으로 많았구요  깨끗하고 아담했어요  가격대비 좋았네요,20210828
전주 우아동 월드 (Jeonju Ua-dong World),10.0,사장님 넘 친절하세요  리모델링 중이신지 공사중이었구요  객실도 깨끗해요  담에 또 갈께요     ,20210826
전주 우아동 하얏트 (Jeonju Uadong Hyatt),9.6,사장님도 좋고 가성비 정말좋아요,20230519
전주 우아동 하얏트 (Jeonju Uadong Hyatt),3.2,한파때문에 버스  택시도 잡기 힘들어 들어간 곳인데           진짜 돈 값 못하는 모  텔입니다   뭐 기대없이 간 곳이라도 해도 더럽고   최악은 담배에 쩔은 냄새         돈 아까워요 ,20221218
전주 우아동 하얏트 (Jeonju Uadong Hyatt),5.6,저녁늦게 아내와 도착하여 짐을 풀고 한옥마을 투어를 한뒤 오후시경 숙소에 도착하였는데   객실에서 담배냄새가 나서 보니    흡연의 흔적인 재떨이가 간이탁자위에 있었음    담배냄새가 방안전체에 배여있어서 이후 비흡연자인 우리 부부는 곤혹스러운 밤을 보냈음    숙박요금이 저렴하다는것 외는 비추임 ,20210809
전주 우아동 센트 (Jeonju Uadong Scent),2.8,들어서자 마자 복도에서는 담배 냄새에 화장실 벽에 곰팡이가 가득하고  매트리스 커버 위생상태가 정말 안좋았습니다   와이프한테 엄청 혼났네요,20220621
전주 우아동 센트 (Jeonju Uadong Scent),9.6,압도적으로 많은 이용후기를 믿고 예약했어요   들어갈때 사모님 굉장히 친절하셨고 입구는 사진 그대로   방도 사진 그대로예요   화장실 오래됬어요    근데 진심 깨끗하고 오래된 캐캐한 냄새도 없어요    솔직히 오래된 모텔 생각했는데 전혀 꿉꿉한 애매한 모텔 아니고   가격대비 최고예요   역 바로 앞이라 편히 이동할 수 있었고   모든게 다 만족스러웠어요   단점 딱 하나   엘베가 없어요   하지만 층수가 높지않아 괜찮았어요   담에도 예약하고싶은 곳이예요,20211108
전주 우아동 해바라기 (Jeonju Uadong Haebaragi),8.8,소음없고   침대   욕실 등 깨끗하고   공용세탁기가 있어서 편합니다     아쉬운 것은 냉장고에 물 대신에 헛개차 캔 등 음료수가 들어있고   스킨   로숀은 뚜껑이 없고 열려있는 채로        다행히 갖고 간 스킨    로숀이 있어서 그것을 사용했습니다 ,20220605
전주 우아동 해바라기 (Jeonju Uadong Haebaragi),9.6,객실 리노베이션을 끝낸지 얼마 안된거 같아 실내는 깔끔하고 특히 욕실이 매우 깨끗함   담배냄새만 조금 힘들었음   그러나 대실요금도 안되는 충격적인 금액으로 숙박한걸 생각하면 가격대비 만족도는 최상임   재방문 의사 있음 ,20210622
전주 여지 게스트하우스 (Jeonju Yeoji Guest House),10.0,너무 친절한 사장님과 꼭 필요한 시설이 잘 갖추어진 좋은 공간입니다   추천해요 ,20230524
전주 여지 게스트하우스 (Jeonju Yeoji Guest House),10.0,인가족이 함께했습니다   청결하고 방도 따뜻했어요   화장실 수압도 좋고 따뜻한 물도 잘 나왔습니다   사장님도 친절하셨고   매우 만족합니다 ,20230507
전주 여지 게스트하우스 (Jeonju Yeoji Guest House),10.0,일단 영화의 거리와 한옥마을 모두   걸어서 갈수있는 최적의 위치 이불이 너무 깔끔하고   업그레이드 해주셔서 너무 좋았어요   잘 보내고 갑니다    ,20230430
전주 여지 게스트하우스 (Jeonju Yeoji Guest House),10.0,사장님도 너무 친절하게 해주셨고   시내와 너무 가까워서 좋았습니다 ,20221129
전주 여지 게스트하우스 (Jeonju Yeoji Guest House),10.0,급하게 결정된 여행이였는데 늦은 시간 도착한 전주 여행인데 방도 업그레이드 해주시고 묵는 동안 편안하게 배려해 주셨어요   축제 구경한다고 늦게 다녀도 되는 방으로 주셔서 좀 더 수월하게 보냈습니다  위치도 시내외 축제장 그리고 한옥 마을을 다 걸어다닐 수 있는 정도여서 크게 문제 없이 뚜벅이 여행도 경험 할 수 있는 위치여서 너무 좋았습니다   다음번 전주여행에도 친절한 사장님 생각하며 다시 찾을 것 같아요   시내와 전주 한옥마을을 모두 편리하게 다닐 수 있어서 뚜벅이 족도 만족할 것 같습니다 ,20220820
전주 여지 게스트하우스 (Jeonju Yeoji Guest House),10.0,사장님도 친절하시고 좋았어요   숙소를 급하게 잡아서 그중에서 후기 좋은 곳으로 고른건데 넘 만족스러웠어요      숙소 방도 깨끗하고   사장님도 넘 친절하시고 넘 좋았어요       다음에 전주에 또 오게 된다면 여기 다시 머물래요    아침에 간단하게 조식 먹을 수 있다는 점이 진짜 좋았던 부분 같아요     그리고 방에 있는 이불도 진짜 촉감 좋고 부드러웠어요         다른 분들도 후기 꼭 보시고 여기많이 이용해 주세요    후회 안해요   ,20220815
전주 여지 게스트하우스 (Jeonju Yeoji Guest House),10.0,그리고 시내쪽이랑 가까워서 접근성이 너무 좋아요호스트분도 너무 친절 따뜻하시고 방도 업그레이드 해주셔서 너무너무 편하게 지내다 왔습니다전주에서 좋은 추억 많이 쌓았는데 숙소의 영향도 있는 것 같아요 ,20220722
전주 여지 게스트하우스 (Jeonju Yeoji Guest House),10.0,저렴하고 위치도 전주한옥마을에서 분정도 거리 만족합니다  즐거운전주여행이였습니다 ,20211004
전주 여지 게스트하우스 (Jeonju Yeoji Guest House),9.6,제가 영화제 바쁘게 돌아다니느라 얼굴도 못 뵈었고 통화도 어려웠지만       문자로도 친절하게 응대해주셔서 감사했습니다   방도 업그레이드 해주시고   캐리어도 맡아주시고요   덕분에 편히 전주영화제 즐겼어요 ,20210512
전주한옥마을 홍시 게스트하우스 (Jeonju Hanok Village Hongsi Guesthouse),10.0,앵두방 예약했는데 은행방으로 업그레이드해주셔서 편히 쉬다왔습니다다음에 또 갈게요   ,20200729
전주한옥마을 홍시 게스트하우스 (Jeonju Hanok Village Hongsi Guesthouse),10.0,사실 한옥보단 옛날 할머니집 간같은 느낌이 많이나요 ,20201122
전주한옥마을 홍시 게스트하우스 (Jeonju Hanok Village Hongsi Guesthouse),8.4,한옥마을 안에 위치해서 늦게까지 돌아다니기 좋았어요     숙소도 깔끔했습니당  근데 따뜻한 물 수압이 조금 약했어요,20230225
전주한옥마을 홍시 게스트하우스 (Jeonju Hanok Village Hongsi Guesthouse),10.0,번화가에 있어 편리하고 따뜻하고 청결함  조식도 맛있게 해 주심,20230221
전주한옥마을 홍시 게스트하우스 (Jeonju Hanok Village Hongsi Guesthouse),10.0,위치는 편리하고 방은 깨끗해요   좋은 휴가였어요 ,20230124
전주한옥마을 홍시 게스트하우스 (Jeonju Hanok Village Hongsi Guesthouse),5.2,위치는 한옥마을 내에 있어서 좋아요  방 컨디션은 좁고 전체적으로 시설이 낡았어요    청소상태가 불량해서 청결하지 않아요   침구도 오래되고 깔끔하지 않아요   부대시설 부족해요   냉장고 없어요  숙소 안내 사진에 착각하지 마세요 ,20221230
전주한옥마을 홍시 게스트하우스 (Jeonju Hanok Village Hongsi Guesthouse),6.8,잠만자기에 나쁘지않았어요,20221227
전주한옥마을 홍시 게스트하우스 (Jeonju Hanok Village Hongsi Guesthouse),9.6,가족 인  청소년 명 포함   이용했습니다   조식이 넘 이쁘고 맛있었습니다   다들 만족입니다   방은 춥지 않고 오히려 바닥이 조금 뜨거웠습니다   와이파이가 잘 안 터지는게 흠이라면 흠입니다   위치도 좋았고  구경 다니다 추우면 잠시 숙소 가서 몸도 녹이고   방음은 잘 모르겠습니다   옆 방에 손님이 없어서       암튼 잘 쉬다 왔습니다      ,20221224
전주한옥마을 홍시 게스트하우스 (Jeonju Hanok Village Hongsi Guesthouse),10.0,일단 전주한옥마을 메인 위치입니다   어디든 다니기 좋아요   한옥을 아기자기 이쁘게 꾸며놨고 방도 뜨끈뜨끈 아늑하고 좋았어요   특히 조식이 너무 좋았답니다   다음에 또 이용하고 싶어요   ,20221127
전주 중화산동 MH HOTEL 중화산점 (Jeonju Junghwasan-dong MH HOTEL),8.0,부모님이 이용하셔서 깔끔하니좋았습니다,20230530
전주 중화산동 MH HOTEL 중화산점 (Jeonju Junghwasan-dong MH HOTEL),8.4,가격대비 만족스러웠습니다 ,20230502
전주 중화산동 MH HOTEL 중화산점 (Jeonju Junghwasan-dong MH HOTEL),7.6,가성비 호텔로  추천   깨끗한 편입니다,20230416
전주 중화산동 MH HOTEL 중화산점 (Jeonju Junghwasan-dong MH HOTEL),10.0,가격도 착하고 스타일러도 있어서 편하게 쉬기 좋아요,20210517
전주 금암동 필 (Jeonju Geumam-dong Feel),2.0,아고다방과 다른 방이 예약되며 숙소에서 바꿔주지않음 ,20230415
전주 금암동 필 (Jeonju Geumam-dong Feel),9.2,가성비 좋고 다 좋은데 웃풍이 살짝 있어요,20221208
전주 금암동 필 (Jeonju Geumam-dong Feel),7.6,다만 금연실을 부탁드렸음에도 담배 냄세가 심해서 옷에 냄세가 배지 않을까걱정할 정도였어요   흡연 하시는 분들은 그렇다 치고 냄세에 민감하신 분들은 비추입니다   그러나 냄세와 비례해 위생은 정말 깔끔합니다   위치도 시외버스터미널에서 걸어서 분도 안되니 괜찮습니다 ,20220913
전주 금암동 비스트 (Jeonju Geumam-dong Beast),9.6,커플들이 가기 너무 좋아요 강추 ,20230317
전주 금암동 비스트 (Jeonju Geumam-dong Beast),6.8,나쁘지않은데청소관히가좀안되는드,20220829
전주 금암동 비스트 (Jeonju Geumam-dong Beast),8.4,저는 개인여행자여서 목욕을 할 수 있는 것에 큰 점수를 드렸구요     청소상태도 좋았습니다   직원 분다 있는 시간대를 경험해봤는데     단순히 호실 확인하고 키 주는 것만해도 친절함이 묻어나왔습니다     그리고 저 말고도 여러 커플분들도 오시고 하더라구요   ,20220129
전주 인후동 잠자리 (Jeonju Inhudong Jamjari),10.0,잘쉬었습니다,20220806
전주 앤 게스트하우스 (Jeonju and Guest House),10.0,가족여행으로  좋았어요  개별욕실  아침조식준비   모든게  만족입니다,20230528
전주 앤 게스트하우스 (Jeonju and Guest House),8.0,방크기는 인이 지내기에 적합해요  코코몽이용  예술인마을에 있어서 조용해서 좋고한옥마을과 남부시장 도보로 가기에  적당한 거리입니다   조식으로 커피와 쥬스 토스트제공되어서 편안하게 이용하였어요 ,20230514
전주 앤 게스트하우스 (Jeonju and Guest House),9.2,영화제때문에 급히 잡았는데   따듯하게 잘 묵고 왔어요   첫 영화때문에 아침 거를뻔했는데 조식도 너무 좋았고   이불요청에 빠른 피드백까지 감사했습니다 ,20230508
전주 앤 게스트하우스 (Jeonju and Guest House),10.0,방은 아담하지만 깨끗하고 따뜻하고 위치도 좋았어요     주차도 편하고요 추천요   ,20230410
전주 앤 게스트하우스 (Jeonju and Guest House),5.6,깨끗하고 좋지만 인 절대 안됩니다  참고하세요,20221009
전주 앤 게스트하우스 (Jeonju and Guest House),10.0,     좋아요 ,20221003
전주 앤 게스트하우스 (Jeonju and Guest House),8.8,사장님도 친절 하시고 조식도 이용가능 해서 가성비 완전 좋음저희는 콩나물해장국 먹는다고 조식 안먹었지만 빵이랑 쥬스 요플레까지 준비가 되어 있어서 다른분들은 꽤 드시드라구요방문 소리가 닫을때마다 너무 쿵쿵 울리고방이 덩치큰 저희와 맞지 않게 작은게 단점이라면 단점이지만저렴한 가격에 각각 방에 화장실이랑 샤워 시설이 있어 편하고 좋았어요,20220607
전주 뜰안채 한옥 펜션 (Jeonju Tteulanchae Hanok Pension),10.0,사장님 부부 넘 친절하시고위치도 경기전 바로 옆이라 자리도 좋고주차가 편리해서 아주 좋아요,20220622
전주 산아래 한옥스테이 (Jeonju Sanarae Hanok Stay),10.0,방도 깨끗하고 주인분도 친절하셨어요 최고에요     ,20211204
전주 고사동 씨네마 (Jeonju Gosa-dong Cinema),8.4,위치는 전주 객사쪽이라 놀기에 최적입니다  다만 노후화된 시설   화장실 변기 고장 등 애로사항이 있었습니다  잠만 주무실 경우 괜찮겠습니다 ,20221010
그랜드 힐스턴,10.0,  깨끗한 비지니스 숙소    세탁기에 스타일러 그리고 편안한 잠자리 전주역에서 분거리 강추입니디,20230601
그랜드 힐스턴,10.0,  깨끗한 비지니스 숙소  ,20230601
그랜드 힐스턴,8.8,관광지랑 거리 좀 있어요주차편하고 시설 깨끗해요,20230525
그랜드 힐스턴,10.0,깨끗하고 너무 좋아요,20230523
그랜드 힐스턴,10.0,전주역 바로 앞이라 대중교통 이용하는 여행객은 편리할것 같아요   호텔 청결 상태며 매우 깨끗하고 스타일러나 드럼 세탁기가 있어 비즈니즈객도 변리하게 이용할 수 있을것 같내요       조식도 투숙객 할인으로 저렴하게 식사 했어요     ,20230521
그랜드 힐스턴,10.0,신축인지 청결 및 시설이 뛰어났습니다  조식도 할인 행사로 맛나게 즐겼네요    ,20230424
그랜드 힐스턴,10.0,전주역 근처 숙소 알아보는 중에 알게되었는데 신축 건물에 깔끔하고 좋았습니다   다음에도 이용할것 같아요 ,20230423
그랜드 힐스턴,4.8,전주역 접근성은 좋으나  기대에 못미치는  컨디션이네요 재방문의사  없습니다,20230423
그랜드 힐스턴,10.0,명이 가능한 방이었지만 명이외는 침구추가해서 잤고객실 컨디션은 정말 젛았습니다  조식도 프로 할인중이여서 넘 맛있게 먹었구요  위치도 좋고 모든게 완벽합니다  다만 두명이외는 모두 침구를 추가해야하는 단점이하지만 저흰 침대를 붙여서 명이 자고 침구 인만 추가하여 잤습니다 ,20230422
그랜드 힐스턴,6.8,방 청소가 잘 안되어있고 주차가 불편해요,20230420
그랜드 힐스턴,9.6,전반적으로 직원들 친절도가 높고 응대 속도가 빠릅니다    위치도 전주역 앞이고 접근성이 높습니다 ,20230329
그랜드 힐스턴,9.6,좋습니다   깨끗하고 오피스텔 같아요,20230328
그랜드 힐스턴,10.0,좋습니다,20230326
그랜드 힐스턴,6.0,룸컨디션 외에 수건갯수나 화장실내화갯수그리고 화장실의크기와 현관신발대랑 문사이가좁아 나가기힘든점 등 불편함이 많음,20230326
그랜드 힐스턴,4.4,방개 딸린 스위트를 사용했는데   화장실에는 옷을걸어두거나 수건을 걸어둘 걸이 하나 없구요  세면대 밑에 하나있는데 정말 불편합니다   침실에는 성인 명이 자기에는 턱없이 부족한 수퍼싱글보다 약간 큰 침대와 바로 옆에 붙박이장 하나있습니다   협탁하나 두지않고 얼굴 돌리면 바로 장롱에 얼굴 박을것 같은 답답한 사이즈   여긴 도대체 누가 설계를 한건가요   다시는 숙박하지않겠습니다     ,20230324
그랜드 힐스턴,7.2,바닥 청소상태가 많이 기분 나빳어요 먼지에 머리카락들 나아지겠죠 ,20230131
그랜드 힐스턴,6.4,실내구성도 잘 되어있고 전주역 주변이라 식당이나 카페가 많아서 좋아요    새건물이라 그런지 새거 냄새가 아직 많이 나긴 하나 침구도 모두 깨끗해서 좋아요   특히 온돌바닥이라 따듯하고 온풍기보다 덜 건조해서 좋은것 같아요 ,20230123
그랜드 힐스턴,9.2,위생은 깨끗 했지만 객실내에 옷장이 낡아서 열고 닫을때 소리가 나고 옷걸이도 고장나서 난감 했습니다  위치나 주차시설은 편리하게 이용 할 수 있었습니다 ,20230531
그랜드 힐스턴,8.8,깨끗하고 직원분 친절하셨어요호텔 내 부대시설이 없어서 불편하더라구요,20230531
그랜드 힐스턴,10.0,최고의호텔,20230517
그랜드 힐스턴,8.4,체크인에 대기가 있는데 카운터에서 체크인 해 달라 하기전까지는 그냥 서서 처다만 보고 있는 것은 분명 잘못된 부분   이것빼고 다 좋음 ,20230515
그랜드 힐스턴,8.0,가성비좋은 호텔 ,20230328
그랜드 힐스턴,9.2,딸이랑 큰아들 제대 전날에 하루 숙박 뷰도 나쁘지 않고깔끔하고 만족하며 지냈어요담에 또 방문의사 있어요,20230327
그랜드 힐스턴,9.6,뷰가 멋진 곳에 머물렀습니다   침대 폭신폭신해서 좋았어요   아침을 먹는 편이라 조식 먹으러 갔었죠   갓 구워낸 토스트   계란부터 시작해서 깊은 맛이 느껴지는 메인요리   사이드 요리까지   좋았습니다   조식평이 호불호가 심하게 갈려 걱정했었는데요   정말 맛있었고  특히 미역국이 예술     직원들의 친절한 응대에 아침 먹는 내내 기분이 좋았습니다   이곳에 머무시려면   특히 뷰가 걱정인 분들은   객실은 동네가 보이는 쪽을 택하시는 걸 추천합니다   그리고 입실 시간에 맞춰 가시면 첫번째 받은 방이 마음에 안 들 경우   다른 방으로 바꿔 달라고도 하실 수도 있습니다    이건 상황에 따라 달라지겠지만요 ,20230312
그랜드 힐스턴,10.0,전주가면 항상 머무는 숙소 너무 좋아요   ,20230224
그랜드 힐스턴,10.0,추천드리고 싶은 호텔 입니다,20230211
그랜드 힐스턴,8.8,아고다에서 검색해보니 평소보다 가격이 낮아서 얼른 예약했습니다   현장에 가보니 도어락에서 경고음이 나는 문제가 있었는데 해결은 되지 않았습니다만   조식이 훌륭했고 지내기에 불편이 없었습니다 ,20220731
그랜드 힐스턴,10.0,깔끔하고 위치도 좋고  최고입니다,20220720
그랜드 힐스턴,10.0,호텔급 호텔입니다  깔끔하고 친절합니다  조식 좋습니다,20220710
그랜드 힐스턴,7.2,낮에 결혼식장이랑 같이 사용해서 혼잡한데조식도 괜찮고 낫벧  ,20220620
그랜드 힐스턴,10.0,친구 결혼식으로 인해 방문하게 되었는데 오랜만에 호캉스도 제대로 즐길 수 있었고 조식부터 청결까지 모두 만족했습니다 ,20220616
그랜드 힐스턴,9.2,한옥마을과 거리는 있지만 차량이동하면돼서 불편함 없고 전반적으로 만족합니다 ,20220606
그랜드 힐스턴,8.0,출장으로와서 편히 쉬다갑니다   ,20220524
그랜드 힐스턴,10.0,가성비 좋고   코로나로 조식이 한상 차림 한식이었는데 전주답게 아주 훌륭했음,20220518
그랜드 힐스턴,10.0,친절하고 조용하고 깨끗합니다  다시 올 의향 있습니다  특히 한식 조식 한상 괜찮습니다 ,20220418
