hotel,star,review,date,real_date
전주 산정동 스테이 호텔,5,하루 더 연박햐버렸습니당,2022.04.26,2022.04.26
전주 산정동 스테이 호텔,5,좋았습니다,2022.04.21,2022.04.21
전주 산정동 스테이 호텔,5,깔끔하고 좋아요,2022.04.17,2022.04.17
전주 산정동 스테이 호텔,5,잘쉬다갑니다,2022.04.03,2022.04.03
전주 산정동 스테이 호텔,5,이 가격에 스파랑 2pc 즐길 수 있어서 좋았어요. 방이 넓어서 좀 춥긴 했는데 침대는 전기장판이라 따뜻하게 잤습니다.,2022.03.24,2022.03.24
전주 산정동 스테이 호텔,4,편하고 좋아요,2022.03.07,2022.03.07
전주 산정동 스테이 호텔,5,이전에 몇 번 방문한 적이 있어 오랜만에 재방문했습니다. 여전히 사장님이 친절하시더군요. 다만 방음이 잘 안 되는 건지 옆 방 사람들이 목소리가 큰 건지 모르겠습니다만 시끄러워서 새벽까지 잠을 못 잤네요. 다른 부분들은 만족합니다.,2022.02.28,2022.02.28
전주 산정동 스테이 호텔,5,깔끔하고 좋네용,2022.02.26,2022.02.26
전주 산정동 스테이 호텔,3,"화장실 치우신거 맞을까요?? 폼클렌징 껍질 등 휴지케이스 위에 많이 있더라구요. 금암동 이카*스 랑 비슷하게 되어있던데, 주차공간은 협소. 하지만 방은 이뻣네요~ 청소부분만 좀 신경써주시면 될 것 같습니다.더보기",2022.01.30,2022.01.30
전주 산정동 스테이 호텔,3,커플피시룸예약하고 갓는데배그안되네요 사장님이 외장하드에 파일 주셔서 해보려햇는데 안되서 환불받고 나왓어요 친절하십니다 언성 높이는 일없이 환불해주셧네요시설이나 숙소는 정말 좋습니다여친하고 배그하러 간건데 배그 아니엇다면 그냥 묵엇을 거에요더보기,2022.01.28,2022.01.28
전주 산정동 스테이 호텔,4,너무졸았어요,2022.01.18,2022.01.18
전주 산정동 스테이 호텔,5,사장님께서 친절하시고 좋았습니다. 잘 쉬다갑니다. 서비스도 좋았습니다.,2021.12.26,2021.12.26
전주 산정동 스테이 호텔,5,잘이용햇습니다,2021.12.19,2021.12.19
전주 산정동 스테이 호텔,4,솔직히가서실망했어요무인텔변경한?그런거였어요그래서편의라던지친절은전혀모르겠구요숙소는복층구조라괜찮았어요,2021.12.19,2021.12.19
전주 산정동 스테이 호텔,5,좋았습니다 주차가 특히,2021.12.13,2021.12.13
전주 산정동 스테이 호텔,5,콤퓨터도 좋고 방도 깔끔하니 좋았습니다!,2021.12.06,2021.12.06
전주 산정동 스테이 호텔,5,주차장도 프라이빗해서 좋았고 바로 방이랑 이어져있어서 너무 편했습니다:),2021.11.28,2021.11.28
전주 산정동 스테이 호텔,4,엄청 좋아요,2021.11.28,2021.11.28
전주 산정동 스테이 호텔,5,깔끔하니 좋고 사장님도 친절하셔서 편하게 쉬다갈수있어서 좋았어요! 스파도 넓어서 편하고 안마의자까지 시원해서 너무 좋았어요!,2021.11.14,2021.11.14
전주 산정동 스테이 호텔,5,깔끔하고 좋았어요,2021.11.02,2021.11.02
전주 산정동 스테이 호텔,5,가성비 완전 좋아요,2021.10.23,2021.10.23
전주 산정동 스테이 호텔,5,가성비 최고입니다,2021.10.23,2021.10.23
전주 산정동 스테이 호텔,5,가성비짱인듯!스테이가짱짱 그냥진짜ㅋㅋㅋ핸드폰충전기가없어서 편의는4점줬네용~~그거말곤 짱!!!화장실두위아래루있구주차하구 바로올라갈수있는점도 넘좋앗어요!,2021.10.18,2021.10.18
전주 산정동 스테이 호텔,3,사장님도 친절하고 좋으신데 담배 냄새 때문에 비흡연자로써 너무 힘들었네요 ㅠ.ㅠ,2021.10.18,2021.10.18
전주 산정동 스테이 호텔,5,너무 좋아서 또 가자고 약속했습니다 ㅎㅎ 💚아래층 티비가 이상해서 슬펐지만 다음엔 미리 확인하고 바꿔달라고 해야겠어요~ 또 갈게요!!,2021.10.08,2021.10.08
전주 산정동 스테이 호텔,5,깨끗하고 좋았습니다. 옆방 소리가 너무 잘들리네요ㅠㅡㅠ,2021.10.06,2021.10.06
전주 산정동 스테이 호텔,5,좋아요 깔끔,2021.09.14,2021.09.14
전주 산정동 스테이 호텔,5,101호 묵었는데 PC쪽 시설도 좋은건 기본이고인테리어도 모던하고 청결합니다.복층이지만 불편하지않게 위아래 냉장고와 화장실이 다 존재하고 스파시설도 좋아서 잘 이용했습니다!다음에 또 이용할거예요~,2021.09.06,2021.09.06
전주 산정동 스테이 호텔,4,좋았습니다용,2021.08.25,2021.08.25
전주 산정동 스테이 호텔,4,무인텔이라는것을 모르고 가서 조금 당황스러웠습니다. 그리고 카드키가 없다니!CCTV가 잘 되어 있고 도난사고가 없었다고 하지만 짐을 놓고 다니기에 사실 조금 불안했습니다.복층 객실 예쁘고 스파도 좋았는데컴퓨터는 롤 돌리기에도 조금 벅찼던것같아요!!,2021.08.25,2021.08.25
전주 산정동 스테이 호텔,4,전체적으로 만족합니다 그런데 전자렌지가 아무데도 안보이네용.. 그래도 컴도 매우 잘 돌아갔어요,2021.08.20,2021.08.20
전주 산정동 스테이 호텔,5,이틀동안 너무 잘 쉬었어요~~~~굳굳,2021.08.17,2021.08.17
전주 산정동 스테이 호텔,4,"시설이 큰데, 구서구석 더러운 부분 못 본것같아서, 청소 열심히 하시는 것 같아 좋아요, 다만 이번에는 침대 커버에 거뭇한게 묻어있어서 드러웠어요ㅠ 2층인복층은 에어컨 제일 낮게,강풍모드로해도 더워요ㅠㅠ 1층에선,자는데 자꾸 딱딱 가구?금 가는 소리같은?몇몇 포인트들 만 개선되면 진짜 최고 숙소라고 생각합니다. 넷플도 잘 되고 구비된 것들도 좋아요",2021.08.03,2021.08.03
전주 산정동 스테이 호텔,5,바쁘셔서 청소가 늦어 40분 정도 늦게 입실했지만 내부가 되게 깔끔하고 가성비가 되게 좋아서 금방 잊고 기분좋게 묵었습니다! 다음에도 전주 오게 된다면 여기로 오게 될거같아요 신경 써주셔서 감사합니다 ㅎㅎ,2021.08.02,2021.08.02
전주 산정동 스테이 호텔,5,예상보다 더 좋아서 잘 쉬고 왔습니다.다음에 방문하면 숙서에서만 놀다 갈거에요 ㅋㅋ,2021.08.01,2021.08.01
전주 산정동 스테이 호텔,5,잘쉬다가요,2021.07.28,2021.07.28
전주 산정동 스테이 호텔,5,진짜 여긴 최고에요ㅠㅠㅠ 전주 여행가면 꼭 여기서 자요!!!!!,2021.07.26,2021.07.26
전주 산정동 스테이 호텔,5,가봣던 숙소 중에 시설적으로 가장좋아요 호텔과 비교해도 가장 마음에듭니다,2021.07.14,2021.07.14
전주 산정동 스테이 호텔,5,좋았어요!,2021.07.11,2021.07.11
전주 산정동 스테이 호텔,5,잘 쉬다갑니다.,2021.07.09,2021.07.09
전주 한옥마을나무그늘게스트하우스,1,다시는 가고 싶지 않은 곳,2022.05.09,2022.05.09
전주 한옥마을나무그늘게스트하우스,3,일단 먼저 사장님은 정말 친절하세요!하지만 객실 화장실에 하수구 냄새가 너무 많이 나고 곳곳에 먼지들이 많아요. 티비도 저희가 간 날에 고장이 났긴 했지만 사장님께서 먼저 어떻게든 조치를 취해주시려 하고 너무 친절하셔서 아무 문제가 안 됐습니다. 그런데 아침에 몸이 가려워서 일어났는데 바퀴벌레가 이불 사이에 있었습니다. 여행이기도 하고 즐겁게 지나가려 했지만 이건 도저히 넘어갈 수 없어 남깁니다. 청결 부분만 신경써 주신다면 더 없이 좋은 곳 이라 생각합니다더보기,2022.05.02,2022.05.02
전주 한옥마을나무그늘게스트하우스,5,잘쉬다갑니다ㅎ,2022.03.02,2022.03.02
전주 한옥마을나무그늘게스트하우스,4,한옥마을과 인접해있어요웃풍이 좀 있긴한데 보일러를 잘 틀어주셔서 괜찮았는데 방음이 많이 안되긴해요침대에서 삐그덕소리가나요ㅜㅜ,2021.12.12,2021.12.12
전주 한옥마을나무그늘게스트하우스,5,한옥마을도 가깝고 사장님도 늦은 시간까지 차를 내어주고 정말 친절하세요!,2021.12.10,2021.12.10
전주 한옥마을나무그늘게스트하우스,4,한옥마을과 가까워서 좋았어요!!,2021.11.19,2021.11.19
전주 한옥마을나무그늘게스트하우스,5,온돌방 따뜻하고 편하게 잘쉬었어요^^접근성도 만족했습니다,2021.10.31,2021.10.31
전주 한옥마을나무그늘게스트하우스,5,일단 방이 너무 예뻤어요! 사진이랑 방이 좀 다르긴 했는데 이것도 이것대로 좋고 있는 물품들도 다 미리 적혀있어서 괜찮았어요.하지만 화장실 문이 잘 안 닫히는거랑 방음이 좀 안되는 게 약간? 아쉬운 부분이었어요ㅠ그래도 전체적으로 굉장히 만족스럽고 근처에 볼만한 것들과 할만한 것들이 많아서 좋았어요!!다음에 또 전주 가게되면 예약하고 싶네요 ㅎㅎ더보기,2020.09.27,2020.09.27
전주 한옥마을나무그늘게스트하우스,4,화장실이 변기랑 씻는곳이 붙어잇어서 그거 말고는 다 좋았어요!,2020.09.26,2020.09.26
전주 한옥마을나무그늘게스트하우스,2,"여행 관광지 접근성은 좋았으나 시설은 별로에요, 화장실 문도 안닫히고 방음 1도 안됩니다 옆방 사람이랑 같이 있는 기분이에요,,,,두번 다신 안가고 싶어요 침구류도 너무 지저분하고 심지어 침대는 한쪽이 기울어있어요더보기",2020.08.19,2020.08.19
전주 한옥마을나무그늘게스트하우스,2,"관광지 접근성은 좋았으나 숙소 청결이 정말 별로였어요, 들어가자마자 눅눅하고 이상한 냄새에,, 심지어 화장실 문은 안닫혀요,",2020.08.19,2020.08.19
전주 한옥마을나무그늘게스트하우스,5,매우 좋아요~^^,2020.04.30,2020.04.30
전주 한옥마을나무그늘게스트하우스,3,객실 이용 설명이 없고 벽이 얇아서 그런지  옆방에서 떠드는 소리가 다들립니다....   게스트하우스 관리자님이 안계셔서  몇 번이고 전화로 문의하고 불편한게 한두가지가 아니네요... 분명 전화로 청소 다 됐으면  입실해도 된다고 하셔서 갔는데  직원분인가  3시 넘기전에는 입실 안된다고 하셔서 짐만 놓고 나오겠다고 했는데  지켜보고 서계셔서 별로 안좋았어요.  그리고 사진이랑 숙소가 좀 많이 느낌이 다르네요.  사진에는  정수기랑 싱크대도 있었는데 실제로는 없구요.  냉장고도 안시원 하고 작동이 되는건지 모르겠네요 .더보기,2019.05.12,2019.05.12
전주 하늘기와펜션,5,사장님 친절하시고 가성비 좋은 숙소입니다 !한옥마을에서 이정도 가격에 숙박하기 쉽지 않은데 연박 감안해서 룸 업그레이드도 해주시고 감사해요 :)다만 한옥 목조 건물 특성상 방음이 잘되지 않는 점은 감안하시고 방문하시는게 좋을 것 같습니다.,2023.03.19,2023.03.19
전주 하늘기와펜션,3,방음이나 주차는 아쉽지만 그래도 가격대비 좋았습니다!,2022.11.20,2022.11.20
전주 하늘기와펜션,5,"방,화장실 엄청 깨끗했고 마당도 예뻤습니다. 밤에 난방해주셔서 기절꿀잠잤어요.비용 저렴한데 간단하게 조식도 먹을수 있었어요.전주천?이랑 가까워서 산책하기 좋았고 동네 한복판이 아니어서 조용히 쉬기 좋았어요.마지막날 저녁에 마당에 들어온 길고양이가 개냥이라 한참 같이 놀았어요. 좋은 추억 많이 쌓았어요. 다음에 또 전주가게 되면 또 하늘기와로 갈거에요.더보기",2022.10.08,2022.10.08
전주 하늘기와펜션,5,"2박3일 내내 걸어서 한옥마을 모든 맛집 다 다녔어요 :) 사장님도 너무 친절하시구 숙소도 깔끔하고 가성비 갑!! 마당 너무 예뻐요 ㅠㅠ 한옥 특성상 방음 안되는건 좀 그랬지만 그려러니 하고 지내다 보니 신경도 안쓰였어용 전주 또 가면 또 들르고 싶어요 :D",2022.07.18,2022.07.18
전주 하늘기와펜션,5,사장님 너무 친절하시고 방도 너무 깔끔하고 좋습니다.방바닥도 따뜻하고 수압도 쎄고 마당 너무 이쁘고 좋았어요~~그리고 다이닝룸같은 공간이 따로있는데 거기에 항상 과일이랑 고구마나 계란같은거 있어서 너무 좋았습니다~~정말 잘 지내고 갔습니다.^^,2022.02.05,2022.02.05
전주 다나하루 게스트하우스,5,very clean and good service,2023.04.17,2023.04.17
전주 다나하루 게스트하우스,5,한옥마을안에 있어 이동이 편리하고 이 가격에 독실을 사용할수 있어 너무 좋았습니다사장님도 무척 친절하셨구요계단은 좀 가파르게 높은데 그 외에는 단점이 없어요아주 따뜻하고 좋은 숙소였습니다,2023.01.29,2023.01.29
전주 다나하루 게스트하우스,5,가성비 있고 잠도 잘오고 좋았어요~~,2023.01.01,2023.01.01
전주 다나하루 게스트하우스,4,가격대비 나쁘지 않았던것 같아요,2022.12.27,2022.12.27
전주 다나하루 게스트하우스,5,한옥마을 가깝고 풍남시장 가깝고 저렴하고 잘 쉬다 갑니다,2022.11.22,2022.11.22
전주 다나하루 게스트하우스,5,하룻밤 잘 묵고 갑니다~ 방 업그레이드해 주셔서 감사합니다!,2022.11.05,2022.11.05
전주 다나하루 게스트하우스,5,친절하신 사장님 덕분에 집에온 느낌으로 푹 쉬다 갑니다!  딱 혼자오신 여행자분들이 묵기 좋은 숙소인 것 같아요! 다음에 재방문의사 1000%,2022.08.21,2022.08.21
전주 다나하루 게스트하우스,5,단체로 와서 3층으로 통으로 내주셨어요. 덕분이 불편함 없이 잘자냈습니당 ㅎ 담에도 또 올께요~,2022.08.15,2022.08.15
전주 다나하루 게스트하우스,5,친절하게 알려주시고 챙겨주셔서 잘지내다가 왔어요~담에도 또 올께요!!!!ㅎ,2022.08.15,2022.08.15
전주 다나하루 게스트하우스,5,저렴하고 좋았어요,2022.08.10,2022.08.10
전주 다나하루 게스트하우스,5,사장님이 친절하셔요.^^,2022.05.09,2022.05.09
전주 다나하루 게스트하우스,5,너무너무 친절하신 사장님 별 열개 드리고싶습니다~배려를 너무 많이해주셔서 감사히 편안한 전주여행되었네요. 다음에 기회되면 꼭 다시 방문하고싶습니다~,2022.04.19,2022.04.19
전주 다나하루 게스트하우스,5,위생이나 위치 등 좋았습니다 주차하실거면 빨리가시는게좋구요 수건은 없었습니다 조용한게마음에들어 다음에 전주가면 재방문할것같습니다 방 넓어요,2022.04.18,2022.04.18
전주 다나하루 게스트하우스,5,가격대비 최고네요 감사합니다,2022.03.20,2022.03.20
전주 다나하루 게스트하우스,5,소음 없고 정말 아늑합니다.방 온돌 보일러 틀면 더울 정도로 따뜻해여. 온도도 직접 조절 가능해서 정말 좋습니다. 너무 따뜻해서 자다가 이불 걷어찼는데 여자친구한테 혼났네여ㅎㅎ한옥마을 오게되면 꼭 다시 이용하겠습니다.사장님도 정말 친절하세요~~더보기,2021.11.01,2021.11.01
전주 다나하루 게스트하우스,5,정말 편안했고 너무나 저렴한 가격에 필요한 용품들은 다 깨끗하게 갖추어져 있었습니다. 무형유산원을 방문차 가까운 묵을 곳을 찾았는데 다나하루게스트 하우스가 딱입니다.,2021.10.08,2021.10.08
전주 다나하루 게스트하우스,5,놀수있는 거리도 괜찮았고 사장님께서 이것저것 설명해주셔서 사장님의 친절도는 진짜 갑오브갑인거 같아요 ㅎㅎ 3층을 저 혼자 쓰게 됐었지만 그래도 시설들도 깔끔하고 다 좋았어요!! 담에 또 놀러오게 된다면 여기서 지낼거 같아요 ㅎㅎ 사장님 잘 쉬다 갔습니다 ㅎㅎㅎ,2021.07.11,2021.07.11
전주 다나하루 게스트하우스,4,숙소 이용은 좋은데 입구문 출입 하는 문 닫으려다 손가락에 피멍들어서 그부분만 개선되면 좋을것같아요,2021.05.19,2021.05.19
전주 다나하루 게스트하우스,5,"혼자 조용히 생각할 시간이 필요했는데 정말 잘 지내다 갑니다. 사람이 없어서 혼자서 한 층을 다 쓸 수 있었고, 방도 더 큰 방으로 업그레이드 해주셨어요. 샴푸, 바디워시도 집에 있는 것처럼 좋았고침구류 수건도 다 깨끗했어요. 청소상태도 좋았고요.정말 잘 쉬다 갑니다 감사합니다^^더보기",2021.04.02,2021.04.02
전주 다나하루 게스트하우스,5,"혼자 조용히 생각할 시간이 필요했는데 정말 잘 지내다 갑니다. 사람이 없어서 혼자서 한 층을 다 쓸 수 있었고, 방도 더 큰 방으로 업그레이드 해주셨어요. 샴푸, 바디워시도 집에 있는 것처럼 좋았고침구류 수건도 다 깨끗했어요. 청소상태도 좋았고요.정말 잘 쉬다 갑니다 감사합니다^^더보기",2021.04.02,2021.04.02
전주 다나하루 게스트하우스,5,친절하게 응대해주셔서 감사합니다. 편하고 따뜻하게 지내다 갑니다^^,2021.03.21,2021.03.21
전주 다나하루 게스트하우스,5,사정이 생겨서 잠깐 체크인만 하고 숙박은 못 했어요ㅠㅎ갈 때마다 늘 친절하신 주인 분께 감사드립니다 :),2021.02.07,2021.02.07
전주 다나하루 게스트하우스,5,사장님 진짜 엄청 친절하시고 방도 좋아요올때마다 쉬러 올께요~ 강추,2020.12.25,2020.12.25
전주 다나하루 게스트하우스,5,전주 올 때마다 묵고 가는 최애 숙소입니다.주인께서도 이런 친절이 없을 정도로 친절하십니다. 방도 따듯하고 화장실 따순 물도 잘 나오고요. 다만 오늘은 베갯잎에서 조금 냄새가 나는 것 같아요. 침구류 세탁만 좀 더 신경써주시면 감사하겠습니다 ^^,2020.10.31,2020.10.31
전주 다나하루 게스트하우스,5,감사했습니다 여러모로,2020.10.24,2020.10.24
전주 다나하루 게스트하우스,5,너무 좋았어요!!!,2020.10.22,2020.10.22
전주 다나하루 게스트하우스,5,잘쉬다갑니다,2020.07.26,2020.07.26
전주 다나하루 게스트하우스,5,사장님께서 매우 친절하시고 방도 업그레이드 해주셔서편하게 지내다 갑니다^^ 다음에도 이용해야겠어요♥♥,2020.06.13,2020.06.13
전주 다나하루 게스트하우스,5,친절하신 사장님 위치나 접근성도 좋았습니다~,2020.05.04,2020.05.04
전주 다나하루 게스트하우스,5,최고에요 불가피하게 밤늦게 체크인하게 되었는데도친절하게 안내해주셔서 감사했습니다! 방도너무깨끗하고 화장실도 좋았어요! 집처럼 푸근했습니다 ㅎㅎ,2020.05.03,2020.05.03
전주 다나하루 게스트하우스,4,근처에 한옥마을도 있고 숙소 들어가는 방법도 친절하게 알려주셔서 좋았어요ㅎㅎ 잠 자는데 따뜻해서 푹 잤습니다!,2020.02.10,2020.02.10
전주 다나하루 게스트하우스,5,한옥마을이랑도 굉장히 가깝구요 방도 깨끗하고 공용 욕실이랑 화장실도 굉장히 깨끗해서 좋았어요! 사장님도 엄청 친절하시구요!!,2019.11.18,2019.11.18
전주 다나하루 게스트하우스,4,가성비 좋고 사장님 친절하세요~^,2019.11.17,2019.11.17
전주 다나하루 게스트하우스,5,"...,.",2019.11.10,2019.11.10
전주 다나하루 게스트하우스,5,너무 친절하셨고 들어갈 때 향기가 너무 향기로워서 기분도 덩달아 좋아졌어요! 완전 최고!!,2019.11.06,2019.11.06
전주 다나하루 게스트하우스,5,다음날 면접 때문에 급하게 잡은 게스트하우스라 시끄러울 까봐 걱정했는데 다행이 엄청 조용했어요!  제일 작은방 예약했는데도 큰방으로 업그레이드 해 주시고 샤워실이랑 화장실도 혼자 써서 완전 좋았어요. 사장님도 엄청 친절하시고 방이랑 욕실 상태도 청결했습니다 나중에 놀러갈때 꼭 다시 이용할 생각이에요 잘 쉬다 갔어용:),2019.08.04,2019.08.04
전주 다나하루 게스트하우스,5,사정상 못갔는데 친절하게 연락주셨어용감사해요!,2019.07.06,2019.07.06
전주 다나하루 게스트하우스,5,당일 손님이 많이 없을땐 방도 업그레이드 해주시고 친절하게 설명까지 해주십니다👍👍,2019.03.19,2019.03.19
전주 다나하루 게스트하우스,4,큰 기대 안 하고 왔는데 모든 점이 맘에 드네요!전주 오면 자주 방문할 듯합니다! 주인 어머님도 친절하시고요 :),2019.03.16,2019.03.16
전주 다나하루 게스트하우스,5,너무 좋습니다 역시!!,2019.03.09,2019.03.09
전주 다나하루 게스트하우스,5,항상 들리는 곳입니다,2019.03.08,2019.03.08
전주 다나하루 게스트하우스,5,깔끔하고 친절하고 방도 딱 적당하고 좋았어요! 다음에 또 이용할께욯ㅎ 감사합니당,2019.03.06,2019.03.06
전주 다나하루 게스트하우스,5,정말 따뜻하게 잘지내다 갑니다! 사장님 감사해요 :),2019.01.18,2019.01.18
