hotel,star,review,date
전주 우아동 호텔 캐슬,5.6,가격대비 만족합니다,3년 전
전주 우아동 호텔 캐슬,6.6,전반적으로 그냥그럼,3년 전
전주 우아동 호텔 캐슬,10.0,깨끗해용 ㅋㅋ사장님 친절쓰,3년 전
전주 우아동 호텔 캐슬,10.0,괜찮았어요 아주 좋고 괜찮았어요,3년 전
전주 우아동 호텔 캐슬,8.0,싼 가격에 맘 편히 쉬다갑니다~,3년 전
전주 우아동 호텔 캐슬,6.6,트윈이 필요해서 다른데 알아보니 여기가 가장 싼거 같아서 일단 잡아봤는데 생각보다 넓어서 좋았네요.오래된곳이라 큰 기대를 안해서 그냥저냥 편하게 이용했습니다.재미있는건 방 크기 보다 욕실 & 화장실 크기가 더 크다는거~ ㅋ,3년 전
전주 우아동 호텔 캐슬,10.0,시설좋고 깨끗해여잘쉬다 가요,3년 전
전주 우아동 호텔 캐슬,10.0,너무 좋아요 최고최고 ㅎㅎ,3년 전
전주 우아동 호텔 캐슬,10.0,가격대비 나쁘지는 않았습니다.,3년 전
전주 우아동 호텔 캐슬,10.0,좋아요~~~~~~~,3년 전
전주 우아동 호텔 캐슬,8.0,"자주 오는 곳이에요! 가성비 괜찮은데 사장님이랑은 너무 친절하시고 좋으나,, 청결은 아무래도 조금 미흡해용,, 화장실 천장에 거미줄ㅜㅜ",3년 전
전주 우아동 호텔 캐슬,10.0,사장님이 엄청 친절하세요~~깔끔하니 정말 좋았어요,3년 전
전주 우아동 호텔 캐슬,10.0,시설 좋은 가성비 짱 모텔 입니다,3년 전
전주 우아동 호텔 캐슬,10.0,👍🏻👍🏻👍🏻👏🏻👏🏻👏🏻👏🏻❤️❤️❤️,3년 전
전주 우아동 호텔 캐슬,7.6,자주 옵니당~ㅋㅋ늘 친절하시네욤,3년 전
전주 우아동 호텔 캐슬,10.0,깨끗해요  사장님이 친절하시고,3년 전
전주 우아동 호텔 캐슬,10.0,친절하게 이용잘했습니다,3년 전
전주 우아동 호텔 캐슬,10.0,늘 가지만 사장님도 친절하시구 가성비 최고에용,3년 전
전주 우아동 호텔 캐슬,10.0,시설 청결 서비스 모두 만족입니다..,4년 전
전주 산정동 코자자,10.0,가장 큰 장점은 넓은 객실에 깔끔하고 모던한 인테리어라고 생각해요 프론트에서 헤드셋 대여도 해주셨어요 친절하시고 깨끗한 침구와 고사양 게이밍 컴퓨터가 있어서 편안하게 휴식할 수 있어요,22시간 전
전주 산정동 코자자,10.0,잘 쉬다가 갑니다~~~~~~~~~~~~~~~~~잘 쉬다가 갑니다~~~~~~~~~~~~~~~~~잘 쉬다가 갑니다~~~~~~~~~~~~~~~~~잘 쉬다가 갑니다~~~~~~~~~~~~~~~~~잘 쉬다가 갑니다~~~~~~~~~~~~~~~~~,23시간 전
전주 산정동 코자자,10.0,"매주 이용합니다. 조용하고 깨끗한 곳입니다. 라면도 무료로 토스트도 무료로 먹을 수 있고,,, 주변에 편의점도 코앞이고 주차장도 넓고 좋습니다. 무엇보다 침대 컨디션이 너무 좋습니다. 편안하게 쉴 수 있는 곳입니다.",2일 전
전주 산정동 코자자,10.0,자동차 전기 충전기도 있어요.세상에 이런 모텔이 있어요.주차장도 넓고 참좋네요공급해주시는 라면이 있는데 어찌 그리 맛나는지여자보다 맛나요.쬐금  거짓말이죠그러니까 짱 맛나다는 말씀리모델링 한 모텔인데운영자 님의 푸짐함너그러움이 느껴짐니다.,2일 전
전주 산정동 코자자,10.0,"모털 여기 저기 다녀 보았지만여기처럼 편한곳이 없습니다.주차장 짱크고,오래된 모떨을 리모델링해서 좋아요주인장님께서 통이 크신지뭐든 풍성 하네요.그런 맘이 느껴져요저도 사업을 해보았죠그래서 딱 보면 주인장의 스타일을 알죠",4일 전
전주 산정동 코자자,6.6,깔끔하고 좋아용 깔끔하고 좋아용 깔끔하고 좋아용 깔끔하고 좋아용 깔끔하고 좋아용 깔끔하고 좋아용 깔끔하고 좋아용 깔끔하고 좋아용 깔끔하고 좋아용 깔끔하고 좋아용 깔끔하고 좋아용 깔끔하고 좋아용,1일 전
전주 산정동 코자자,10.0,숙소가 오래되긴 했어도 청결하고 비오는 날이었는데도 냄세같은건 없었으나 비데가 고장이 난지 오래된듯  작동이 안되었습니다! 주차장은 넓어서 편하게 접근할수 있었고요 나올때 보니 바로옆에 무료 공영주차장이 있었던거 같아요 주차걱정은 없을듯 하네요,5일 전
전주 산정동 코자자,10.0,"*코자자*침대가 푹신하고 방이 아늑해서 좋습니다.2인용 침대이고 화장실도 별도로 있고요,모니터도 2대 있습니다.1일 1회 라면을 끓여 먹게 제공하고 있고, 식빵도 있네요. 무엇보다도 침대가 맘에 듭니다.전주 출장 올 때 자주 이용할 것 같습니다. 감사합니다.",5일 전
전주 산정동 코자자,10.0,주차장도 넉넉히 자리도 많고 숙소도 엄청 깔끔하고 좋아요 주변에 상권도 잘 되어있고 사장님도 엄청 친절하십니다 가격도 저렴해서 가성비도 좋고 청소도 잘 되어있어요 다음에 또 방문하고싶어요 굿,6일 전
전주 산정동 코자자,10.0,항상 밤 늦게 이용하는데 편리합니다. 주차장도 넓어서 좋습니다. 1층에 한강 라면 정말 배고플 때 감사합니다. ^^ 그리고 토스트도 있도 더 편리한 것은 방에 토스트기가 있다는 것입니다. 1층에서 기다릴 필요가 없어서 좋아.침대 컨디션도 좋고.. 다 좋습니다.,7일 전
전주 산정동 코자자,10.0,늦은시간에 도착했는데 피곤하셨는지 주무시고 계셨지만 친절하게 응대해주셔서 좋았습니다.라면도있었지만 못먹어봤네요..다음에는 라면도 먹어봐야겠습니다^^,11일 전
전주 산정동 코자자,10.0,이번이 두번째 방문입니다.동일한 룸을 원해서 동일한 룸을 주셨어요.먼저 정말 잘 쉬다와서오늘도 먼저와 같이 정말 맘 편하게 지냈어요.무뚝뚝한 여사장님 매력 있어요.맘이 넓어요.통도 크시고그래서 그런지 뭐든 풍부하네요.,12일 전
전주 산정동 코자자,10.0,.전라북도는 경치도 좋은곳이많지만 대부분의 도시에도가격도 착하고 시설도괜찬은 모텔들이 곳곳에있어서 출장이 잦은 나로서는늘 고마운곳이다.침구도 깨끗하고 청소상태도좋았고 티브이도 훌륭했다.,13일 전
전주 산정동 코자자,10.0,가성비 굿굿굿굿굿~~~~~~~~가성비 굿굿굿굿굿~~~~~~~~가성비 굿굿굿굿굿~~~~~~~가성비 굿굿굿굿굿~~~~~~~~가성비 굿굿굿굿굿~~~~~~~~가성비 굿굿굿굿굿~~~~~~~~,14일 전
전주 산정동 코자자,10.0,"티비가 커서 좋고, 침대가 엄청 푹신해서 어디껀지궁금할 정도였습니다. 다만 룸 가운이 원래 하나인지는 모르겠지만 하나라서 아쉬웠습니다. 라면과 토스트도 좋았어요. 특히 한강라면이 좋습니다!",15일 전
전주 산정동 코자자,10.0,편하게 잘쉬다갑니다,17일 전
전주 산정동 코자자,10.0,침대 티비 컴퓨터 가성비 괜찮은곳! 항상 잘이용하네요침대 티비 컴퓨터 가성비 괜찮은곳! 항상 잘이용하네요침대 티비 컴퓨터 가성비 괜찮은곳! 항상 잘이용하네요침대 티비 컴퓨터 가성비 괜찮은곳! 항상 잘이용하네요,18일 전
전주 산정동 코자자,6.0,여기는 이불이랑 베게에 피가 묻어 있고 청결하지 않아서 비추입니다 교묘하게 뒤집어서 안보이게 되어있던데 다시는 이용하고 싶지 않네요 ㅠㅠ,22일 전
전주 산정동 코자자,10.0,제가 전국 모텔 여러군데 이용해 보았지만 최고 입니다.실내 깨끗하고 깔끔 짱 마음에 들음담배 냄새도 없고TV 화면 짱크고다양한 먹을 거리 따로 저녁 아침 사먹을 필요 없을 정도로 다양컴퓨터도 있는데 저는 이용 않해서 모르겠는데 2대 있고정말 좋음무조건 전주에 오면 전주 코자자에 올것임.,24일 전
전주 산정동 코자자,10.0,티비도 크고 PC도 사양이 좋네요. 편히 쉬다갑니다,25일 전
전주 산정동 코자자,10.0,"*코자자*침대가 푹신하고 방이 아늑해서 좋습니다.2인용 침대이고 화장실도 별도로 있고요,모니터도 2대 있습니다.1일 1회 라면을 끓여 먹게 제공하고 있고, 식빵도 있네요. 무엇보다도 침대가 맘에 듭니다.전주 출장 올 때 자주 이용할 것 같습니다. 감사합니다.",26일 전
전주 산정동 코자자,10.0,"*코자자*침대가 푹신하고 방이 아늑해서 좋습니다.2인용 침대이고 화장실도 별도로 있고요,모니터도 2대 있습니다.1일 1회 라면을 끓여 먹게 제공하고 있고, 식빵도 있네요. 무엇보다도 침대가 맘에 듭니다.전주 출장 올 때 자주 이용할 것 같습니다. 감사합니다.",27일 전
전주 산정동 코자자,10.0,내부시설깔끔하고 수압도쎄서 불편함이 없었어요~주차장도넓고 조용해서 편안하게 잘쉬었다갑니다~~^^출장다니는데 가격도저렴해서 좋았어요.다음에서 예약하고 또가겠습니다~번창하세요~^^,27일 전
전주 산정동 코자자,10.0,방전화기가 카운터랑연결안되서ㅠ,28일 전
전주 산정동 코자자,10.0,가. 성 . 비 지 존가격대비 성능의 비용이 좋다!!!가. 성 . 비 지 존가격대비 성능의 비용이 좋다!!!가. 성 . 비 지 존가격대비 성능의 비용이 좋다!!!가. 성 . 비 지 존ㅋㅋ가격대비 성능의 비용이 좋다!!!ㅋㅋ,28일 전
전주 산정동 코자자,4.6,객실 깔끔하고 그럭저럭 괜찮은데 퇴실시간 한시간 전부터 전화하고 일어나라고 문 두드리고 아주 불쾌했습니다. 이런적은 처음이에요. 퇴실시간 10분전도 아니고 한시간전부터 이러시는건 좀 아니지않나요,1개월 전
전주 산정동 코자자,10.0,객실이 일단 아담하고 한강라면 및 토스트가 있어서 좋아요 그리고 특히 침대가 푹신푹신해서 좋았음~~ 다만 아쉬운점은 배게에서 나는건지 방에서 나는건지 퀘퀘한 홀애비 냄새가 가시지 않아 많이 아쉬웠어요,1개월 전
전주 산정동 코자자,10.0,사장님이 친절하시고 가성비 최고네요~ 잘쉬다 갑니다.,1개월 전
전주 산정동 코자자,5.3,바닥에 털이 보여서 조금 그랬어요 ㅠ ㅡ ㅠ전체적으로 숙소가 오래된 듯 했지만따듯한 물도 잘 나오고tv도 커서 편하게 쉬다가요연휴 치고는 저렴하게 이용한거 같아요,1개월 전
전주 산정동 코자자,10.0,근 10년동안 지방출장을 자주다니는데 요번엔 전주를 오게됐습니다객실도 깨끗하고 화장실도 깨끗하고 사장님께서도 친절하시고~~단 침대가 너무 폭신해서 늦잠을 자버렸네요 ㅋㅋ잘쉬다갑니다,1개월 전
전주 산정동 코자자,10.0,라면도 있구~토스트도 있구~ 친절하시구~ 아주아주 매번 좋아요 다만 샴푸 린스 바디워시를 좀만..신경써주시면 더 애용할 것 같아요ㅠㅠㅠㅠ그래두 매번 편히 잘 쉬고 갑니당ㅎㅎㅎ좋은하루되세용,1개월 전
전주 산정동 코자자,10.0,가. 성 . 비 지 존가격대비 성능의 비용이 좋다!!!가. 성 . 비 지 존가격대비 성능의 비용이 좋다!!!가. 성 . 비 지 존가격대비 성능의 비용이 좋다!!!가. 성 . 비 지 존ㅋㅋ가격대비 성능의 비용이 좋다!!!ㅋ,1개월 전
전주 산정동 코자자,10.0,또 남기네요ㅎㅎ매번 이용하는데 사장님도 완전 친절하시고 자주 방문하는 보람이 있네용ㅎㅎ 어쩔 때는 평일에도 일반실이 모두 예약되서 아쉽지만 그만큼 숙박하기 좋은 곳이니까ㅠㅜㅜㅜㅎㅎㅎ,1개월 전
전주 산정동 코자자,8.0,전주에 가끔 일 때문에 오는데 근처 다른 곳에 가봤는데 여기가 젤 괜찮은 거 같습니다 숙소 바로 앞에 편의점이 있고 근처에 식당도 있어서 이용하기 편합니다 여기는 퇴실시간도 넉넉하게 오후 1시까지라서 좋았습니다 그리고 식빵이랑 딸기쨈 객실에 스토어가 있어서 좋았습니다 한깅라면도 있어서 더욱 좋아요 다시 이용할 생각입니다 가성비 좋아요,1개월 전
전주 산정동 코자자,10.0,청결하고 좋았습니다 방도 깨끗하구요 화장실도 깨끗하고 청소가 잘되있어서 너무좋았습니다!!!담에 또 가게된다고하면 여기를 꼭 다시 찾을꺼같아요가성비도 너무좋구 짱입니다! 믿고 꼭 한번가보세요~,1개월 전
전주 산정동 코자자,10.0,토요일 주말인데두 저렴한가격에 4시간이나 이용할수 있어서 너무 좋았습니다~ 온수도 따듯하구 전기장판도 잘틀어지구 넘 좋았네용ㅎㅎ 항상 느끼는거지만 주차편한거는 진심 전주에서 손꼽히는 모텔입니다! 다른곳은 주차장이 좁아터져서 주차가 힘들고 사고나는것도 종종보는데 코자자는 전혀 그런걱정 안해도 됩니당 ㅎㅎ다음에 또 주말에 대실하고싶을때 재방문 할게요~숙소 업그레이드 부탁드려용!!^^;♡,1개월 전
전주 산정동 코자자,9.3,좋은 가격에 편안하고 깨끗한 잠자리여서 만족하며 이용하고있습니다. 좋은 가격에 편안하고 깨끗한 잠자리여서 만족하며 이용하고있습니다. 좋은 가격에 편안하고 깨끗한 잠자리여서 만족하며 이용하고있습니다.,1개월 전
전주 산정동 코자자,10.0,tv가 엄청 커서 좋았어요. 침구류 깨끗. 방도 깨끗. 비데 굿.,1개월 전
전주 산정동 코자자,10.0,주말에도 이용했는데 역시 매트리스가 좋아서 잠 푹자고 나왔네용ㅎㅎ 한가지 아쉬운 점은 컨디셔너가..ㅠㅠ진짜 별로에요ㅠㅠㅠㅠ 전혀 컨디셔너같지 않은 느낌..그거 말고는 좋아요! 친절하시구 주차공간넓고 티비도 크고!,1개월 전
전주 산정동 코자자,10.0,"*코자자*침대가 푹신하고 방이 아늑해서 좋습니다.2인용 침대이고 화장실도 별도로 있고요,모니터도 2대 있습니다.라면을 언제든지 끓여 먹게 제공하고 있고, 식빵도 있어요.침대가 많이 푹신합니다.",1개월 전
전주 산정동 코자자,10.0,여기는 정말 완전 마음에 드는게 침대가 아주그냥 편해버려요.. 진짜.. 폭닥폭닥하니 잠이 잘오고 몸도 베기지 않고 좋더라구요매트리스 별로면 다음 날 몸 엄청 뻐근한데 여기 매트리스는 완전 짱 ㅠㅠ,1개월 전
전주 산정동 코자자,10.0,사장님 완전 친절하세요덕분에 아침라면해장 잘하고맛있게 토스트 먹으며 잘 쉬다갑니다주말인데도 가격 저렴해서 조아요,1개월 전
전주 산정동 코자자,10.0,오랜만에 이용했는데 깔끔해서 좋았어요!!! 수건도 깨끗하고 침구류도 깨끗했네요!!!ㅎㅎㅎㅎ 다음에 이용 할 기회가 되면 또 이용 할 생각입니다! 덕분에 편안하게 잘 쉬고 잘 놀다가 갑니다,1개월 전
전주 산정동 코자자,10.0,"침대가 푹신하고 방이 아늑해서 좋습니다.2인용 침대이고 화장실도 별도로 있고요,모니터도 2대 있습니다.라면을 언제든지 끓여 먹게 제공하고 있고, 식빵도 있어요. 무엇보다도 침대가 참 맘에 듭니다.전주 출장 올 때 자주 이용할 것 같습니다. 감사합니다.",1개월 전
전주 산정동 코자자,10.0,저렴하게 잘 이용했습니다~~~가성비도 좋고 컴퓨터도 새로 바꾸셨는지 진짜 좋아요잘 이용할거같아요 진짜코자자 좋네요 !!!!직원분도 언제나 친절하시고 다음에 또 이용하겠습니다!,1개월 전
전주 산정동 코자자,4.0,방이없어서급한데러 갔는데너무 시설이 노후했네요돈이 너무 아깜..,1개월 전
전주 산정동 코자자,7.6,전날 퇴실시간 맞춰서 대실까지 예약해놨다고 했는데 다음 파트 알바?분 한테 말씀 드린다고 했는데 처음듣는거 처럼 일어나라고 프론트에서 전화 온게 좀 그랬네영 그래두 다른건 다 좋았어요,1개월 전
전주 산정동 코자자,10.0,방값저렴하고 침대가편해서 편히자고갈수있어용~,1개월 전
전주 산정동 코자자,10.0,전주 출장와서 이용했습니다라면무료에 토스트도 무료인게 인상적이네요1인룸이라 방은 작지만 부족함은 없습니다혼자 출장다니면서 이게 더 장점 같네요욕조 마개가 없어서 아쉬웠지만잘 자고 갑니다~,1개월 전
전주 산정동 코자자,10.0,"주차장은 넓은편입니다..객실 청소도 잘된편이네요..시설은, 만족스럽다고는..고장난p.c,좁은객실..그래도 워낙 깔끔하게 청소가 되어 있어서..기분좋은?매트리스 좋다고들 하시는데, 호불호 갈릴듯..참고로 전 그다지..가성비 좋은곳입니다.깔끔하고.",1개월 전
전주 금암동 뷰티,10.0,조아요 자주애용합니다조아요 자주애용합니다조아요 자주애용합니다조아요 자주애용합니다조아요 자주애용합니다조아요 자주애용합니다조아요 자주애용합니다조아요 자주애용합니다조아요 자주애용합니다,11일 전
전주 금암동 뷰티,10.0,여전히 가성비 최고객실 더 좋은룸으로 해주시고 여잔히 좋습니다여전히 가성비 최고객실 더 좋은룸으로 해주시고 여잔히 좋습니다여전히 가성비 최고객실 더 좋은룸으로 해주시고 여잔히 좋습니다여전히 가성비 최고객실 더 좋은룸으로 해주시고 여잔히 좋습니다,22일 전
전주 금암동 뷰티,10.0,인천공항행 버스를 새벽에 타야해서시외버스 가까운데로 예약했는데저렴해서 예약했어요ㅎ막ㅇ인테리어 이런거 기대하심 안되고진짜 싸서 예약한거니 알고 가시면 될것같아요그래도 편히 자고 버스타러갔습니다,23일 전
전주 금암동 뷰티,10.0,"너무 좋아용 시설도 좋고 사장님도 친절하시구셀프바에 식빵이랑 딸기잼, 토스트기 있고전자레인지도 이용할 수 있어요그리고 아이스크림 1개 무료로 먹을수있어서넘 좋았어유",27일 전
전주 금암동 뷰티,10.0,침구류도 깨끗하고 수간도 깨끗해서 좋았어요! 엘리베이터 바로 옆이였는데 방음도 잘 되는 것 같고 편히 잘 쉬었습니다!! 만약 다시 이용 할 기회가 있으면 다시 이용하고싶은 마음입니다!!,29일 전
전주 금암동 뷰티,10.0,시설 깔끔하고 서비스 좋아요,22시간 전
전주 금암동 뷰티,10.0,원래 좋은 시설같은데 유지보수가 안되어 아쉬웠습니다.방은  청소 상태가 그런 저럭 괜찮은데 난방도 약하고 조금 추운 느낌 들었습니다. 그리고 욕조 청소가 안되어 있어 제가 청소하고 사용한 것이 아쉬움이 남습니다.감사합니다,29일 전
전주 금암동 뷰티,10.0,조아요 다시 이용할거 같아요조아요 다시 이용할거 같아요조아요 다시 이용할거 같아요조아요 다시 이용할거 같아요조아요 다시 이용할거 같아요조아요 다시 이용할거 같아요조아요 다시 이용할거 같아요,2개월 전
전주 금암동 뷰티,10.0,방도 넓고 욕실도 크고 너무 좋아요.나중에 다시 올일이 있다면 꼭 가고싶어요.,3개월 전
전주 금암동 뷰티,10.0,전반적으로 부족함 없이 만족했어요. 잘 이용했습니다!전반적으로 부족함 없이 만족했어요. 잘 이용했습니다!전반적으로 부족함 없이 만족했어요. 잘 이용했습니다!전반적으로 부족함 없이 만족했어요. 잘 이용했습니다!,5개월 전
전주 금암동 뷰티,10.0,굿굿굿굿굿...최~~~~고....입니다.굿굿굿굿굿...최~~~~고....입니다.굿굿굿굿굿...최~~~~고....입니다.굿굿굿굿굿...최~~~~고....입니다....,10개월 전
전주 금암동 뷰티,10.0,기본이상은 하는곳입니다 화장실 샤워실 따로따로 분리되있습니다 👍,10개월 전
전주 금암동 뷰티,10.0,굿굿굿굿굿...최~~~~고....입니다.굿굿굿굿굿...최~~~~고....입니다.굿굿굿굿굿...최~~~~고....입니다.굿굿굿굿굿...최~~~~고....입니다....,11개월 전
전주 금암동 뷰티,10.0,굿굿굿굿굿...최~~~~고....입니다.굿굿굿굿굿...최~~~~고....입니다.굿굿굿굿굿...최~~~~고....입니다.굿굿굿굿굿...최~~~~고....입니다....,11개월 전
전주 금암동 뷰티,10.0,1.내부가 청결합니다.2.주변이 조용합니다.3.간식이 커피랑 식빵이 비치되어 있어....간단하게 굶주린 배를 채울수 있습니다..4.저렴한 가격대비 시설이 만족합니다...,11개월 전
전주 금암동 뷰티,10.0,1.내부가 청결합니다.2.주변이 조용합니다.3.간식이 커피랑 식빵이 비치되어 좋아요.4.만화책이랑 볼게 있어 좋네요.5.내부 안마의자가 있어 뭉친 근육 풀어주니 좋네요.6.월풀욕조가 크고 피곤한몸 피로를 풀어주네요7.저렴한 가격대비 모든게 좋네요,12개월 전
전주 금암동 뷰티,6.0,어쩌다 방문하는 곳이지만..시설이 많이 노후된 건물이네요..청소상태두 많은 개선이 필요해보이구요..청소는 제대로 하시는건지 여쭤보고 싶을정도 였으니~ 좀 불쾌하고 찜찜했어요ㅜㅜㅜ,1년 전
전주 금암동 뷰티,4.0,요즘 날씨가 벌써 더워졌는데 에어컨 얼른 청소해주세요~  그래도 다른 데보다는 청결면에서 신경 써주시는것 같아서 하루 잘 묵고 갑니다~ 다음에 또 가게 되며 재방문 의사는 있습니다~,1년 전
전주 금암동 뷰티,10.0,객실도 쾌적하고 고데기도 비치되어 있고 면봉도 구비되어 있고 다 괜찮았어요 ㅎㅎㅎㅎ다음에 또 묵으러 올게요----!!!!!사장님도 너무 친절하시고 로비에서 빵이랑 아이스크림도 막을 수 있어서 정말 좋았어용~~~~,1년 전
전주 금암동 뷰티,10.0,넓은곳주셔서 ㅎ너무좋았는데..움직일수없을만큼추웟어요.,1년 전
전주 금암동 뷰티,7.0,좋아요좋아요좋아요좋아요좋아요좋아요좋아요좋아요좋아요좋아요좋아요좋아요좋아요좋아요좋아요좋아요좋아요좋아요좋아요좋아요좋아요좋아요좋아요좋아요좋아요좋아요좋아요좋아요좋아요좋아요좋아요좋아요좋아요좋아요좋아요좋아요좋아요좋아요좋아요좋아요좋아요좋아요좋아요좋아요좋아요좋아요좋아요좋아요좋아요좋아요좋아요좋아요좋아요좋아요좋아요좋아요,1년 전
전주 금암동 뷰티,10.0,감사합니다  애용하는,1년 전
전주 금암동 뷰티,10.0,방도 넓고 화장실도 넓어서 좋았어요 컴퓨터가 피시방처럼 게임이 가능했어요,1년 전
전주 금암동 뷰티,10.0,1. 시설이 오래됐지만 방이 넓고 좋아요!2. 스파가 있는 방이었는데 작동은 안됐습니다.3. 소파와 식탁이 있어서 시켜먹기 편해요.4. 1층에 아이스크림이 있어서 좋았어요!!,1년 전
